7.797912367595267824e+02,1.366311451244242789e+03,1.677135801619584527e+03,1.834598718300226210e+03,1.846784542323493952e+03
1.092634204160521449e+03,1.532129408112876717e+03,1.779299609941899234e+03,1.875826505530759960e+03,1.849855087205251039e+03
1.320104501489000768e+03,1.673278232101367848e+03,1.859447232374686337e+03,1.894310516160092902e+03,1.850449004343520983e+03
1.507731215226265476e+03,1.790426137744186008e+03,1.914509201511894162e+03,1.904143302863091776e+03,1.848744503639239383e+03
1.666794714616376723e+03,1.885113973501860983e+03,1.944173897336074788e+03,1.910775525732138021e+03,1.844303990718189880e+03
1.800799077158345654e+03,1.954730686340738657e+03,1.962217719524185895e+03,1.915013110268212358e+03,1.836517519564944450e+03
1.912219720138816228e+03,1.996863931666623557e+03,1.976213650932580094e+03,1.916618713342736328e+03,1.824632295340788005e+03
1.997747706414803361e+03,2.024670380854478026e+03,1.987768464671894662e+03,1.915068195740029068e+03,1.807680620769330972e+03
2.053353255601512046e+03,2.047596075497744096e+03,1.996932988422091967e+03,1.909676228504331448e+03,1.784369203590883217e+03
2.092487986009849919e+03,2.068204392275495593e+03,2.003295184132260147e+03,1.899549185576449645e+03,1.753035325008175505e+03
2.126202199457322877e+03,2.086905603101316956e+03,2.006257589207685669e+03,1.883463818762800656e+03,1.713682452557456600e+03
2.158029607247691274e+03,2.103478614100734376e+03,2.005029012457378030e+03,1.859702271549045236e+03,1.684499632252965512e+03
2.188881557355610312e+03,2.117437104828335123e+03,1.998519206494254149e+03,1.826368148150657134e+03,1.684231017318348677e+03
2.218814617879193065e+03,2.128150783272760236e+03,1.985147247603086953e+03,1.790057621263344345e+03,1.700809897639225483e+03
2.247593798910505029e+03,2.134774792207881546e+03,1.962609921607142269e+03,1.782673984608714591e+03,1.727365690646244502e+03
